date,Open,High,Low,close,Volume
2020-03-06T00:00:00,0,47772.53,47229.43,47772.53,21433
2020-03-09T00:00:00,0,47229.43,47229.43,47229.43,302
2020-03-11T00:00:00,0,45900,45900,47229.43,65
2020-03-12T00:00:00,0,43981.77,43981.77,43981.77,650
2020-03-17T00:00:00,0,40700.12,40700.12,40700.12,702
2020-03-18T00:00:00,0,39088.43,39088.43,39088.43,366
2020-03-27T00:00:00,0,36316.51,36316.51,36316.51,394
2020-04-03T00:00:00,0,36554.38,36554.38,36554.38,784
