date,close
2020-03-13,5223.83
2020-03-12,4995
2020-03-05,5611.7998
2020-03-03,5765
2020-03-02,5665
2020-02-20,6112
2020-02-11,6200
2020-02-07,6203.6802
2020-02-04,6056
2020-01-29,6203.6802
2020-01-28,6155
2020-01-20,6382.8198
2020-01-13,6305
2020-01-10,6316.3599
2020-01-07,6310
2020-01-03,6310
2019-12-27,6319.54
2019-12-23,6300
2019-12-13,6251
2019-12-11,6200.1001
2019-12-09,6173.8901
2019-12-06,6155.4702
2019-12-05,6037.9199
2019-12-04,6001
2019-12-03,5987.02
2019-11-29,5911.5898
2019-11-28,6017
2019-11-27,6020
2019-11-26,6108.5498
2019-11-22,6148
2019-11-21,6183
2019-11-20,6256.3301
2019-11-19,6260.5
2019-11-18,6414.0498
2019-11-15,6160
2019-11-14,5799.6001
2019-11-13,5987.2002
2019-11-12,6108.6001
2019-11-06,6736.7002
2019-10-30,6750
2019-10-29,6950
2019-10-24,7100
2019-10-22,7143.0601
2019-10-21,7175.7002
2019-10-17,7336
2019-10-15,7336.7998
2019-10-14,7335.9502
2019-10-11,7407.6699
2019-10-10,7356.9302
2019-10-02,7277.2002
2019-10-01,7245
2019-09-27,7245
2019-09-24,7151.8999
2019-09-16,7219.5
2019-09-13,7175.2002
2019-09-05,7025
2019-09-03,7021.8999
2019-08-30,7085
2019-08-29,6941.9302
2019-08-28,7100
2019-08-27,7112.2998
2019-08-20,7270.85
2019-08-12,7250
2019-08-09,7413.5
2019-08-08,7437.4
2019-08-06,7435.1
2019-07-31,7550
2019-07-30,7475
2019-07-29,7583.7
2019-07-11,7604.7
