date,Open,High,Low,close,Volume
2020-03-12T00:00:00,0,5150,4995,4995,6327
2020-03-13T00:00:00,0,5250,5145.7,5223.83,6718
2020-03-16T00:00:00,0,5250,5250,5250,3028
2020-03-17T00:00:00,0,4690,4690,4690,3448
2020-03-19T00:00:00,0,4642,4642,4642,3076
2020-03-20T00:00:00,0,4576,4575.56,4575.59,44496
2020-03-23T00:00:00,0,4475.84,4475.84,4475.84,3192
2020-03-26T00:00:00,0,4699.15,4699.15,4699.15,1400
2020-03-31T00:00:00,0,4500,4500,4500,2666
2020-04-02T00:00:00,0,4670,4670,4670,6126
