7,,,
,,,
date,nav,,
4/8/20,"37,692.30",,44.24
4/7/20,"37,056.49",,
4/6/20,"36,800.45",,
4/5/20,"37,002.03",,
4/4/20,"36,996.35",,
4/3/20,"36,990.66",,
